date,total_messages,kurd_mentions,percent,percent_ma7,volume_ma7,scaled_volume_ma7,trend_delta
2025-02-16,212,11,5.188679245283019,2.5069528775082213,272.2857142857143,0.6264486833261096,1.8805041941821117
2025-02-17,25,0,0.0,2.1037270710566083,240.42857142857142,0.5531548447207988,1.5505722263358095
2025-02-18,16,0,0.0,1.8341852920808672,189.71428571428572,0.43647631241189594,1.3977089796689712
2025-02-19,15,0,0.0,1.4864057308181597,115.57142857142857,0.2658955848954998,1.22051014592266
2025-02-20,26,1,3.8461538461538463,1.7413054702539816,105.42857142857143,0.24255987843371926,1.4987455918202623
2025-02-21,73,6,8.219178082191782,2.7754177453009867,72.14285714285714,0.1659793206084393,2.6094384246925473
2025-02-22,37,1,2.7027027027027026,2.850959125190193,57.714285714285715,0.13278345648675147,2.7181756687034415
2025-02-23,63,6,9.523809523809524,3.4702634506939787,36.42857142857143,0.08381134010921194,3.386452110584767
2025-02-24,15,0,0.0,3.4702634506939787,35.0,0.08052462088924284,3.389738829804736
2025-02-25,117,1,0.8547008547008547,3.5923635727941012,49.42857142857143,0.11372048501093071,3.4786430877831704
2025-02-26,68,1,1.4705882352941178,3.8024476064075463,57.0,0.13114009687676692,3.6713075095307794
2025-02-27,12,0,0.0,3.2529970569569966,55.0,0.12653868996881018,3.1264583669881865
2025-02-28,3,0,0.0,2.0788287595010284,45.0,0.10353165542902651,1.975297104072002
2025-03-01,45,0,0.0,1.6927283734006424,46.142857142857146,0.10616103080500179,1.5865673425956406
2025-03-02,84,0,0.0,0.33218415571356724,49.142857142857146,0.1130631411669369,0.21912101454663035
2025-03-03,27,0,0.0,0.33218415571356724,50.857142857142854,0.1170072042308998,0.21517695148266744
2025-03-04,20,0,0.0,0.21008403361344513,37.0,0.08512602779719958,0.12495800581624555
2025-03-05,309,10,3.236245954692557,0.462320850670365,71.42857142857143,0.1643359609984548,0.29798488967191017
2025-03-06,7,0,0.0,0.462320850670365,70.71428571428571,0.16269260138847022,0.2996282492818948
